un_resolution_symbol;title;vote_notes;vote_date;voting_summary;afghanistan;brazil;china;costa_rica;france;gabon;gambia;japan;kenya;portugal;russian_federation
S/RES/1191(1998);Security Council resolution 1191 (1998) [on nominations for judges of the International Tribunal for the Former Yugoslavia];;19980827;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
A/RES/1843(XVII)[A];Draft International Covenants on Human Rights : resolution / adopted by the General Assembly;NON-RECORDED based on A/PV.1198 - No machine generated vote;19621219;Yes: 95, No: 0, Abstentions: 0, Non-Voting: 15, Total voting membership: 110;;;;;;;;;;;
S/RES/1190(1998);Security Council resolution 1190 (1998) [on the dispatch of a Special Envoy to Angola and extension of the mandate of the UN Observer Mission in Angola (MONUA) until 15 Sept. 1998];;19980813;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1188(1998);Security Council resolution 1188 (1998) [on extension of the mandate of the UN Interim Force in Lebanon];;19980730;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
A/RES/52/242;Financing of the United nations Observer Mission in Georgia : resolution / adopted by the General Assembly;ADOPTED WITHOUT A VOTE;19980730;;;;;;;;;;;;
S/RES/1186(1998);Security Council resolution 1186 (1998) [on extension of the mandate of the UN Preventive Deployment Force];;19980721;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1187(1998);Security Council resolution 1187 (1998) [on extension of the mandate of the UN Observer Mission in Georgia];;19980730;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1185(1998);Security Council resolution 1185 (1998) [on extension of the mandate of the UN Mission for the Referendum in Western Sahara (MINURSO) ];;19980720;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;;;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1183(1998);Security Council resolution 1183 (1998) [on the demilitarization of the Prevlaka Peninsula];;19980715;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1181(1998);Security Council resolution 1181 (1998) [on establishment of the UN Observer Mission in Sierra Leone (UNOMSIL)];;19980713;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1184(1998);Security Council resolution 1184 (1998) [on the establishment by the UN Mission in Bosnia and Herzegovina of a programme to monitor and assess the court system in Bosnia and Herzegovina];;19980716;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
